"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como usuario quiero ingresar al servicio","Consulta no exitosa","ERROR","2021-10-21T11:16:52.448-05:00[America/Bogota]","0.0","0.07"
"Yo como usuario quiero ingresar al servicio","Consulta exitosa","SUCCESS","2021-10-21T11:24:55.737-05:00[America/Bogota]","0.0","8.72"
