"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como usuario quiero ingresar al servicio","Consulta exitosa","SUCCESS","2021-10-21T11:35:08.824-05:00[America/Bogota]","0.0","6.41"
"Yo como usuario quiero ingresar al servicio","Consulta no exitosa","SUCCESS","2021-10-21T11:35:15.245-05:00[America/Bogota]","0.0","0.51"
